fqdn,dns_public,dns_a_records,http_via_dns,http_via_cluster_host,categorie_audit,situation,action_recommandee
www.change-flights.to,oui (hors IP OVH),"13.248.169.48, 76.223.54.146",200,200,off_ovh_hosting,"DNS ailleurs (13.248.169.48, 76.223.54.146…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.confirmation.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.copa.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.copa.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.copa.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.dal.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.airlines-usa.agency,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.delta.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.depannageserruriermarseille.fr,oui (hors IP OVH),"104.21.63.223, 172.67.172.88, 2606:4700:3032::6815:3fdf, 2606:4700:3033::ac43:ac58",200,200,off_ovh_hosting,"DNS ailleurs (104.21.63.223, 172.67.172.88, 2606:4700:3032::6815:3fdf, 260…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.destination.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.dishwasher.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.dishwasher.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.dl.keywy.com,non,,,200,dns_none,Pas de DNS public ; contenu encore sur le cluster OVH,Revue humaine avant détachement
www.dryer.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.dryer.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.e-ticket.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.exterminator.same-day.pro,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.fare.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.flights.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.flights.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.fly.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.frontier.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.georgesappliancesrepair.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.hawaiian.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.hvac-sys.com,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.interjet.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.jetbiue.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.jetblue.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.jetblue.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.jmelectrician.com,oui (hors IP OVH),"13.248.243.5, 76.223.105.230",200,200,off_ovh_hosting,"DNS ailleurs (13.248.243.5, 76.223.105.230…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.keywy.com,oui (hors IP OVH),"104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:4700:3037::6815:2760",403,200,off_ovh_hosting,"DNS ailleurs (104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.pestwipe.com,oui (hors IP OVH),"147.93.17.108, 2a02:4780:11:1933:0:13b0:a100:9",200,200,off_ovh_hosting,"DNS ailleurs (147.93.17.108, 2a02:4780:11:1933:0:13b0:a100:9…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.prestashop.arasaka-sarl.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.refrigerator.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.refrigerator.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.reservation.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.same-day.pro,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
www.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.schedule.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.southwest.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.southwest.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.southwest.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.spirit.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.spirit.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.spirit.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.suncountry.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.travel.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.trip.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.turkish.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.turkish.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.turkish.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.ual.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.united.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.united.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.usa.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.usa.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.vivaaerobus.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.volaris.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.volaris.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.volaris.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.volaris.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.washing-machine.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.washing-machine.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.way.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.westjet.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.westjet.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.westjet.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
www.wordpress.arasaka-sarl.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
